step,wall_time,tag,type,value
51,1745217756.6060464,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6331095695495605
52,1745218620.6407473,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6829620003700256
53,1745219494.3724344,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.7022665739059448
54,1745220361.1485133,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.621904730796814
55,1745221224.4054685,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.4485326409339905
56,1745222085.8662694,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.5516954660415649
57,1745222948.8967626,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.45807084441185
58,1745223809.5726852,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6106162667274475
59,1745224668.298886,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.7558756470680237
60,1745225543.6833832,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6284157037734985
61,1745226401.9246523,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.6974669694900513
62,1745227259.5802681,Train/activations/ResidualBlock0_1stConvBlock_forward/min,scalar,-0.5619426369667053
0,1745171235.4653153,Train/activations/ResidualBlock0_2ndConvBlock_forward/mean,scalar,-0.13971900939941406
1,1745172296.838433,Train/activations/ResidualBlock0_2ndConvBlock_forward/mean,scalar,-0.18465790152549744
2,1745173338.109707,Train/activations/ResidualBlock0_2ndConvBlock_forward/mean,scalar,-0.1504884958267212
3,1745174233.1132684,Train/activations/ResidualBlock0_2ndConvBlock_forward/mean,scalar,-0.20781688392162323
4,1745175273.5479493,Train/activations/ResidualBlock0_2ndConvBlock_forward/mean,scalar,-0.23435847461223602
5,1745176165.7995422,Train/activations/ResidualBlock0_2ndConvBlock_forward/mean,scalar,-0.18176934123039246
6,1745177057.4249933,Train/activations/ResidualBlock0_2ndConvBlock_forward/mean,scalar,-0.33659228682518005
7,1745178097.8278835,Train/activations/ResidualBlock0_2ndConvBlock_forward/mean,scalar,-0.2970171570777893
8,1745179142.345137,Train/activations/ResidualBlock0_2ndConvBlock_forward/mean,scalar,-0.25289419293403625
